"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"GFSCTIAB<XMEX>","Gfscotiainverlat","B","MX","Accion","cancelado","GFSCTIAB","BMV","-","1995-11-29","1995-11-29","Peso Mexico","Bancos","Finanzas y Seguros"
"GICONSAL<XMEX>","Giconsa","L","MX","Accion","cancelado","GICONSAL","BMV","-","1998-11-17","2000-03-17","Peso Mexico","Construcción pesada y ingeniería civil","Construcción"
"GICONSA<XMEX>","Giconsa","Ord","MX","Accion","cancelado","GICONSA","BMV","-","1998-07-29","2001-11-09","Peso Mexico","Construcción pesada y ingeniería civil","Construcción"
"GISSA<XMEX>","GInd Saltillo","Ord","MX","Accion","cancelado","GISSA","BMV","-","1991-12-10","2010-04-09","Peso Mexico","Fabricación de productos a base de arcillas y minerales refractarios","Minerales no Met"
"GMARTI<XMEX>","GMarti","*","MX","Accion","cancelado","GMARTI","BMV","-","1992-04-13","2012-11-26","Peso Mexico","Tienda de artículos deportivos e instrumentos musicales","Comercio"
"GMDR<XMEX>","GMD Resorts","*","MX","Accion","cancelado","GMDR","BMV","-","2008-01-22","2014-05-05","Peso Mexico","Loteamento de inmuebles","Construcción"
"GMDB<XMEX>","GMex Desarrollo","B","MX","Accion","cancelado","GMDB","BMV","-","1993-12-14","2008-01-18","Peso Mexico","Construcción de carreteras, calles, puentes y tuneles","Construcción"
"GMDL<XMEX>","GMex Desarrollo","L","MX","Accion","cancelado","GMDL","BMV","-","1994-08-24","2001-01-11","Peso Mexico","Construcción de carreteras, calles, puentes y tuneles","Construcción"
"GMODELOC<XMEX>","GModelo","C","MX","Accion","cancelado","GMODELOC","BMV","-","1994-02-16","2015-09-02","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"GMODERN<XMEX>","GModerna","*","MX","Accion","cancelado","GMODERN","BMV","-","-","-","Peso Mexico","Otras industrias alimentarias","Alimentos y Beb"
"GMODERNA<XMEX>","GModerna","A","MX","Accion","cancelado","GMODERNA","BMV","-","1992-01-07","2010-11-08","Peso Mexico","Otras industrias alimentarias","Alimentos y Beb"
"GOMO<XMEX>","Gomo","Ord","MX","Accion","cancelado","GOMO","BMV","-","1997-09-12","2008-07-28","Peso Mexico","Comercio al por mayor de articulos electricos","Comercio"
"GPQB<XMEX>","Gprove Quim","B","MX","Accion","cancelado","GPQB","BMV","-","1998-02-06","2003-11-24","Peso Mexico","Comercio al por mayor de productos químicos","Comercio"
"GSYRB<XMEX>","Gsalinas Y Rocha","B","MX","Accion","cancelado","GSYRB","BMV","-","1991-12-18","1999-01-13","Peso Mexico","Tienda de muebles","Comercio"
"GSERFINA<XMEX>","Gserfin Gpo Fin","A","MX","Accion","cancelado","GSERFINA","BMV","-","1992-01-02","1999-06-10","Peso Mexico","Instituciones de intermediación crediticia y financiera no bursátil","Finanzas y Seguros"
"GSERFINB<XMEX>","Gserfin Gpo Fin","B","MX","Accion","cancelado","GSERFINB","BMV","-","1991-12-02","1999-06-10","Peso Mexico","Instituciones de intermediación crediticia y financiera no bursátil","Finanzas y Seguros"
"GSERFINL<XMEX>","Gserfin Gpo Fin","L","MX","Accion","cancelado","GSERFINL","BMV","-","1998-02-09","1999-06-08","Peso Mexico","Instituciones de intermediación crediticia y financiera no bursátil","Finanzas y Seguros"
"HOGARB<XMEX>","Hogar Consorcio","B","MX","Accion","cancelado","HOGARB","BMV","-","1997-05-23","2016-08-04","Peso Mexico","Edificación residencial","Construcción"
"HYLSAMXB<XMEX>","Hylsamex","B","MX","Accion","cancelado","HYLSAMXB","BMV","-","1995-01-02","2005-12-19","Peso Mexico","Fabricación de productos de hierro y acero","Siderur & Metalur"
"HYLSAMXCPO<XMEX>","Hylsamex","CPO","MX","Accion","cancelado","HYLSAMXCPO","BMV","-","2004-02-25","2004-07-29","Peso Mexico","Fabricación de productos de hierro y acero","Siderur & Metalur"
"HYLSAMXL<XMEX>","Hylsamex","L","MX","Accion","cancelado","HYLSAMXL","BMV","-","2004-07-15","2005-12-20","Peso Mexico","Fabricación de productos de hierro y acero","Siderur & Metalur"
"IEMA<XMEX>","Iem","A","MX","Accion","cancelado","IEMA","BMV","-","-","-","Peso Mexico","Fabricación de aparatos eléctricos de uso doméstico","Electroelectronic"
"IEMB<XMEX>","Iem","B","MX","Accion","cancelado","IEMB","BMV","-","1998-09-28","1998-09-28","Peso Mexico","Fabricación de aparatos eléctricos de uso doméstico","Electroelectronic"
"IMSA<XMEX>","Imsa Gpo","Ord","MX","Accion","cancelado","IMSA","BMV","-","1996-12-13","2007-08-08","Peso Mexico","Industria básica del hierro y del acero","Siderur & Metalur"
