Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
DINEA<XMEX>,Dine,A,MX,Accion,activo,DINEA,BMV,Acciones,30/05/2007,20/04/2026,Peso Mexico,Loteamento de inmuebles,Construcción
DINEB<XMEX>,Dine,B,MX,Accion,activo,DINEB,BMV,Acciones,30/05/2007,20/04/2026,Peso Mexico,Loteamento de inmuebles,Construcción
ELEKTRA<XMEX>,Elektra Gpo,*,MX,Accion,activo,ELEKTRA,BMV,Acciones,15/07/1994,29/09/2025,Peso Mexico,Otros tipos de tienda,Comercio
ELEMAT<XMEX>,Elemat,*,MX,Accion,activo,ELEMAT,BMV,Acciones,01/09/2021,23/06/2022,Peso Mexico,Fabricación de cemento y productos de concreto,Minerales no Met
ESENTIAII<XMEX>,Esentia Energy,II,MX,Accion,activo,ESENTIAII,BMV,Acciones,21/11/2025,08/05/2026,Peso Mexico,Suministro de gas por ductos al consumidor final,Petróleo y Gas
BEVIDESA<XMEX>,Far-Ben,A,MX,Accion,activo,BEVIDESA,BMV,Acciones,20/12/2001,26/11/2015,Peso Mexico,Tienda de artículos de salud y cuidados personales,Comercio
BEVIDESB<XMEX>,Far-Ben,B,MX,Accion,activo,BEVIDESB,BMV,Acciones,28/04/1993,29/10/2025,Peso Mexico,Tienda de artículos de salud y cuidados personales,Comercio
FEMSAUB<XMEX>,Fomento Econ Mex,UB,MX,Accion,activo,FEMSAUB,BMV,Acciones,03/06/1998,06/05/2026,Peso Mexico,Industria de las bebidas,Alimentos y Beb
FEMSAUBD<XMEX>,Fomento Econ Mex,UBD,MX,Accion,activo,FEMSAUBD,BMV,Acciones,02/12/1991,08/05/2026,Peso Mexico,Industria de las bebidas,Alimentos y Beb
FORTALE<XMEX>,Fortale,*,MX,Accion,activo,FORTALE,BMV,Acciones,10/07/2015,23/06/2022,Peso Mexico,Fabricación de cemento y productos de concreto,Minerales no Met
FRAGUAB<XMEX>,Fragua Corporativo,B,MX,Accion,activo,FRAGUAB,BMV,Acciones,06/10/1997,08/05/2026,Peso Mexico,Tienda de artículos de salud y cuidados personales,Comercio
GBMO<XMEX>,GBM,O,MX,Accion,activo,GBMO,BMV,Acciones,30/01/2006,07/05/2026,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
GCARSOA1<XMEX>,GCarso,A1,MX,Accion,activo,GCARSOA1,BMV,Acciones,02/12/1991,08/05/2026,Peso Mexico,Fabricación de otra maquinaria y equipo para la industria en general,Maquinaria Indust
LABB<XMEX>,Genomma Lab Intern,B,MX,Accion,activo,LABB,BMV,Acciones,18/06/2008,08/05/2026,Peso Mexico,Fabricación de productos farmacéuticos,Química
GENTERA<XMEX>,Gentera,*,MX,Accion,activo,GENTERA,BMV,Acciones,24/12/2010,08/05/2026,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
GFNORTEO<XMEX>,GFBanorte,O,MX,Accion,activo,GFNORTEO,BMV,Acciones,13/10/1992,08/05/2026,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
GFINBURO<XMEX>,GFInbursa,O,MX,Accion,activo,GFINBURO,BMV,Acciones,26/02/1993,08/05/2026,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
GFMULTIO<XMEX>,GFMultiva,O,MX,Accion,activo,GFMULTIO,BMV,Acciones,03/04/1992,22/10/2025,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
GICSAB<XMEX>,Gicsa,B,MX,Accion,activo,GICSAB,BMV,Acciones,04/06/2015,08/05/2026,Peso Mexico,Edificación residencial,Construcción
GIGANTE<XMEX>,Gigante Gpo,*,MX,Accion,activo,GIGANTE,BMV,Acciones,02/01/1992,29/04/2026,Peso Mexico,Grandes almacenes,Comercio
GISSAA<XMEX>,GInd Saltillo,A,MX,Accion,activo,GISSAA,BMV,Acciones,12/04/2010,08/05/2026,Peso Mexico,Fabricación de productos a base de arcillas y minerales refractarios,Minerales no Met
GMD<XMEX>,GMex Desarrollo,*,MX,Accion,activo,GMD,BMV,Acciones,22/01/2008,08/05/2026,Peso Mexico,"Construcción de carreteras, calles, puentes y tuneles",Construcción
GMEXICOB<XMEX>,GMexico,B,MX,Accion,activo,GMEXICOB,BMV,Acciones,11/08/1994,08/05/2026,Peso Mexico,Minería de minerales metálicos,Minería
GPH1<XMEX>,GPalacio de Hierro,1,MX,Accion,activo,GPH1,BMV,Acciones,08/01/1992,07/08/2025,Peso Mexico,Grandes almacenes,Comercio
GAPB<XMEX>,Gpo Aeroport Pacif,B,MX,Accion,activo,GAPB,BMV,Acciones,24/02/2006,08/05/2026,Peso Mexico,Servicios relacionados con el transporte aéreo,Transporte Servic
GPROFUT<XMEX>,GProfut,*,MX,Accion,activo,GPROFUT,BMV,Acciones,02/04/2002,13/02/2026,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
GRUMAB<XMEX>,Gruma,B,MX,Accion,activo,GRUMAB,BMV,Acciones,29/04/1994,08/05/2026,Peso Mexico,Molienda de granos y de semillas oleaginosas,Alimentos y Beb
AERO<XMEX>,"Grupo Aeroméxico, S.A.B. de C.V.",*,MX,Accion,activo,AERO,BMV,Acciones,07/11/2025,08/05/2026,Peso Mexico,Transporte aéreo regular,Transporte Servic
KUOA<XMEX>,Grupo Kuo,A,MX,Accion,activo,KUOA,BMV,Acciones,02/01/1992,20/04/2026,Peso Mexico,Fabricación de otra maquinaria y equipo para la industria en general,Maquinaria Indust
KUOB<XMEX>,Grupo Kuo,B,MX,Accion,activo,KUOB,BMV,Acciones,02/12/1991,08/05/2026,Peso Mexico,Fabricación de otra maquinaria y equipo para la industria en general,Maquinaria Indust
POCHTECB<XMEX>,Grupo Pochteca,B,MX,Accion,activo,POCHTECB,BMV,Acciones,30/04/1996,08/05/2026,Peso Mexico,Fabricación de productos químicos básicos,Química
TRAXIONA<XMEX>,Grupo Traxión,A,MX,Accion,activo,TRAXIONA,BMV,Acciones,29/09/2017,08/05/2026,Peso Mexico,Otros servicios relacionados con el transporte,Transporte Servic
GSANBORB-1<XMEX>,Gsanborns,B-1,MX,Accion,activo,GSANBORB-1,BMV,Acciones,21/04/1999,19/09/2023,Peso Mexico,Otras tiendas de mercancias diversas,Comercio
HERDEZ<XMEX>,Herdez,*,MX,Accion,activo,HERDEZ,BMV,Acciones,02/01/1992,08/05/2026,Peso Mexico,"Conservación de frutas, verduras, guisos y otros alimentos preparados",Alimentos y Beb
HIMEXSAA<XMEX>,Himexsa,A,MX,Accion,activo,HIMEXSAA,BMV,Acciones,27/06/1996,14/02/2018,Peso Mexico,"Preparación e hilado de fibras textiles, y fabricación de hilos",Textil
HIMEXSAB<XMEX>,Himexsa,B,MX,Accion,activo,HIMEXSAB,BMV,Acciones,-,-,Peso Mexico,"Preparación e hilado de fibras textiles, y fabricación de hilos",Textil
MONEXB<XMEX>,Holding Monex,B,MX,Accion,activo,MONEXB,BMV,Acciones,12/07/2010,15/02/2023,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
HOMEX<XMEX>,Homex Desarr,*,MX,Accion,activo,HOMEX,BMV,Acciones,29/06/2004,30/05/2025,Peso Mexico,Edificación residencial,Construcción
HOTEL<XMEX>,Hotel,*,MX,Accion,activo,HOTEL,BMV,Acciones,12/09/2014,07/05/2026,Peso Mexico,"Hoteles, moteles y similares",Otros
HCITY<XMEX>,Hoteles City Express,*,MX,Accion,activo,HCITY,BMV,Acciones,14/06/2013,08/05/2026,Peso Mexico,"Hoteles, moteles y similares",Otros
IDEALB-1<XMEX>,Ideal,B-1,MX,Accion,activo,IDEALB-1,BMV,Acciones,15/09/2005,18/02/2026,Peso Mexico,Otras construcciones y ingeniería civil,Construcción
ICHB<XMEX>,Industrias Ch,B,MX,Accion,activo,ICHB,BMV,Acciones,11/08/1992,08/05/2026,Peso Mexico,Industria básica del hierro y del acero,Siderur & Metalur
INGEALB<XMEX>,Ingeal,B,MX,Accion,activo,INGEALB,BMV,Acciones,08/12/1994,11/04/2011,Peso Mexico,Elaboración de productos de panadería y tortillas,Alimentos y Beb
CERAMICB<XMEX>,Inter de Ceramica,B,MX,Accion,activo,CERAMICB,BMV,Acciones,09/01/1992,26/01/2024,Peso Mexico,Fabricación de productos a base de arcillas y minerales refractarios,Minerales no Met
INVEXA<XMEX>,Invex Controladora,A,MX,Accion,activo,INVEXA,BMV,Acciones,24/02/1998,05/05/2026,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
KIMBERA<XMEX>,Kimberly Clark Mex,A,MX,Accion,activo,KIMBERA,BMV,Acciones,02/12/1991,08/05/2026,Peso Mexico,Tienda de artículos de salud y cuidados personales,Comercio
KIMBERB<XMEX>,Kimberly Clark Mex,B,MX,Accion,activo,KIMBERB,BMV,Acciones,07/01/1992,05/05/2026,Peso Mexico,Tienda de artículos de salud y cuidados personales,Comercio
LACOMERUB<XMEX>,La Comer,UB,MX,Accion,activo,LACOMERUB,BMV,Acciones,-,-,Peso Mexico,Grandes almacenes,Comercio
LACOMERUBC<XMEX>,La Comer,UBC,MX,Accion,activo,LACOMERUBC,BMV,Acciones,04/01/2016,08/05/2026,Peso Mexico,Grandes almacenes,Comercio
LALAB<XMEX>,Lala,B,MX,Accion,activo,LALAB,BMV,Acciones,16/10/2013,24/10/2022,Peso Mexico,Elaboración de productos lácteos,Alimentos y Beb
LAMOSA<XMEX>,Lamosa Gpo,*,MX,Accion,activo,LAMOSA,BMV,Acciones,28/01/1992,08/05/2026,Peso Mexico,Fabricación de productos a base de arcillas y minerales refractarios,Minerales no Met
LIVEPOL1<XMEX>,Liverpool Puerto de,1,MX,Accion,activo,LIVEPOL1,BMV,Acciones,02/01/1992,07/05/2026,Peso Mexico,Grandes almacenes,Comercio
